,,,,,,,,,,,
2024115002,2,2,2,2,2,2,1,11,11,10,45
2024115004,2,2,2,2,2,0,0,11,11,10,42
2024115006,2,2,2,2,2,2,2,11,8,9,42
2024115008,2,2,2,2,2,0,1,11,11,10,43
2024115010,2,2,2,2,2,0,1,10,10,9,40
2024115012,2,0,0,2,0,0,0,11,11,6,32
2024115014,2,2,0,1,0,0,1,11,10,3,30
2024115016,2,0,2,2,0,0,2,11,10,9,38
2024115018,2,2,2,2,0,2,2,11,11,11,45
2024115020,2,2,2,2,2,2,2,11,11,11,47
2024115022,2,2,2,2,2,2,0,9,10,0,31
2024115024,0,2,0,0,0,0,0,2,0,0,4
2024115026,0,2,0,2,0,2,1,6,2,6,21
2024115030,2,2,2,2,2,2,1,11,11,8,43
2024115032,2,2,2,2,2,0,1,11,11,6,39
2024115034,2,2,2,2,2,2,1,10,11,9,43
2024115036,2,2,2,2,2,2,2,11,11,10,46
2024115038,2,2,2,2,0,0,1,11,10,5,35
2024115040,2,2,0,2,2,2,2,10,8,7,37
2024115042,2,2,2,2,2,2,1,11,11,10,45
2024115044,2,2,2,2,2,0,1,10,11,8,40
2024115046,2,0,2,2,0,2,0,11,7,8,34
2024115048,0,0,2,2,0,0,1,9,11,6,31
2024115050,2,2,2,2,0,2,2,11,11,6,40
2024115052,2,2,2,2,0,2,2,11,11,11,45
2024115054,2,2,2,2,2,2,2,11,11,10,46
2024115056,2,2,2,2,0,2,0,10,9,3,32
2024115058,2,2,2,2,0,0,1,11,11,7,38
2024115060,2,0,0,2,1,0,0,11,5,4,25
2024115064,2,0,2,2,0,0,1,10,11,5,33
2024115066,2,2,2,2,2,0,2,10,10,6,38
2024115068,2,2,2,2,2,2,2,11,11,9,45
2024115070,2,2,2,2,0,2,1,11,11,8,41
2024115072,0,0,0,2,0,0,0,10,9,4,25
2024115074,2,2,2,2,0,0,0,10,5,5,28
2024115076,2,2,0,2,0,0,2,11,11,6,36
2024115080,2,0,0,1,2,1,1,11,11,8,37
2024115082,2,2,2,1,1,1,1,10,10,6,36
2024115086,0,0,0,0,0,0,0,0,0,2,2
2024115088,2,2,2,2,2,2,2,11,11,11,47
2024115090,2,2,2,2,2,2,2,11,11,11,47
2024115092,2,2,2,2,2,2,2,10,11,5,40
2024115094,2,2,2,2,2,2,1,11,10,6,40
2024115096,2,2,2,2,0,2,2,11,11,11,45
2024115098,2,2,2,2,2,2,2,11,11,6,42
2024115100,2,0,0,1,2,0,1,10,10,2,28
2024115102,0,2,0,0,0,2,0,5,10,4,23
2024115104,2,2,2,2,2,2,1,11,11,10,45
2024115106,2,2,2,2,0,2,1,11,11,10,43
2024115110,2,2,2,2,0,2,1,11,11,8,41
2024115112,2,2,2,2,0,0,0,11,11,7,37
2024115114,2,2,2,2,0,2,1,10,7,7,35
2024115116,2,2,2,2,2,0,1,11,10,6,38
2024115120,2,2,1,2,2,2,2,11,11,8,43
2024115122,2,2,2,2,2,2,1,10,10,7,40
2024115124,2,2,2,2,2,2,2,10,11,7,42
2024115126,2,2,2,2,0,2,2,11,11,7,41
2024115128,2,2,2,1,2,0,0,11,10,3,33
2024115130,2,0,2,1,2,0,0,8,10,5,30
2024115132,2,2,2,2,0,2,1,8,7,5,31
2024115134,2,2,2,2,2,2,2,8,10,6,38
2024115136,2,2,2,2,1,2,2,10,9,8,40
2024115302,2,0,2,0,0,0,1,11,9,1,26
2024115304,2,2,2,2,2,2,1,11,10,6,40
2024115306,0,0,0,0,0,0,0,11,2,2,15
2024115308,0,2,0,1,2,0,1,11,11,7,35
2024115310,0,0,2,1,0,0,0,10,5,0,18
2024115312,2,2,2,2,0,0,0,11,11,6,36
2024115314,0,0,0,1,2,0,0,11,5,3,22
2024115316,0,0,0,1,0,0,0,11,10,2,24
2024115318,2,0,2,2,0,0,2,11,11,6,36
